Brand, Product_Name, ShippingGIGABYTE,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060WF2OC-3GD Video Card,Free Shipping
MSI,MSI GeForce RTX 2080 DirectX 12 RTX 2080 VENTUS 8G OC Video Card,Free Shipping
ASUS,ASUS GeForce GTX 1060 PH-GTX1060-6G Video Card,Free Shipping
XFX,XFX Radeon RX 590 Fatboy DirectX 12 RX-590P8DFD6 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2080 FTW3 ULTRA GAMING| 08G-P4-2287-KR| 8GB GDDR6| iCX2 & RGB LED,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon VII DirectX 12 Radeon VII 16G Video Card,$6.99 Shipping
EVGA,EVGA GeForce RTX 2070 XC GAMING| 08G-P4-2172-KR| 8GB GDDR6| Dual HDB Fans & RGB LED,Free Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G Video Card,Free Shipping
XFX,XFX Radeon RX 580 GTS Black Edition 1405 MHz OC+| 8GB 256-bit GDDR5| DX12 VR Ready| Double Dissipation| Dual BIOS| PCI-E AMD Graphics Card (RX-580P828D6),Free Shipping
ASUS,ASUS GeForce GTX 1050 Ti PH-GTX1050TI-4G Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX Vega 56 DirectX 12 GV-RXVEGA56GAMING OC-8GD Video Card,$3.99 Shipping
ZOTAC,ZOTAC GAMING GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card| Super Compact| ZT-T16600F-10L,Free Shipping
